Timestamp,Prediction
1727674506.051647,NormalSleep
1727674516.0583382,NormalSleep
1727674526.066006,NormalSleep
1727674536.072763,NormalSleep
1727674546.080655,NormalSleep
1727674556.087927,NormalSleep
1727674566.0957298,NormalSleep
1727674576.103704,NormalSleep
1727674586.11072,NormalSleep
1727674596.118402,NormalSleep
1727674606.1249988,NormalSleep
1727674616.1327722,NormalSleep
1727674626.140506,NormalSleep
1727674636.148145,NormalSleep
1727674646.155102,NormalSleep
1727674656.161613,NormalSleep
1727674666.1685948,NormalSleep
1727674676.176333,NormalSleep
1727674686.183938,NormalSleep
1727674696.191751,NormalSleep
1727674706.198263,NormalSleep
1727674716.206431,NormalSleep
1727674726.214137,NormalSleep
1727674736.2221498,NormalSleep
1727674746.228576,NormalSleep
1727674756.236522,NormalSleep
1727674766.244566,ObstructiveApnea
1727674776.252448,ObstructiveApnea
1727674786.2603252,ObstructiveApnea
1727674796.2683709,NormalSleep
1727674806.2762291,NormalSleep
1727674816.2831209,ObstructiveApnea
1727674826.290881,ObstructiveApnea
1727674836.298551,NormalSleep
1727674846.305666,NormalSleep
1727674856.31246,NormalSleep
1727674866.320189,NormalSleep
1727674876.328094,NormalSleep
1727674886.335756,NormalSleep
1727674896.343594,NormalSleep
1727674906.351367,NormalSleep
1727674916.359045,NormalSleep
1727674926.365742,NormalSleep
1727674936.373836,NormalSleep
1727674946.38155,NormalSleep
1727674956.3896651,NormalSleep
1727674966.397331,NormalSleep
1727674976.405428,NormalSleep
1727674986.412023,NormalSleep
1727674996.418923,NormalSleep
1727675006.4267,NormalSleep
1727675016.434307,NormalSleep
1727675026.440904,NormalSleep
1727675036.447775,NormalSleep
1727675046.456484,NormalSleep
1727675056.464591,NormalSleep
1727675066.473427,NormalSleep
1727675076.480532,NormalSleep
1727675086.4890602,NormalSleep
1727675096.495719,NormalSleep
1727675106.503084,NormalSleep
1727675116.509878,NormalSleep
1727675126.516856,NormalSleep
1727675136.5496478,NormalSleep
1727675146.5587578,NormalSleep
1727675156.566394,ObstructiveApnea
1727675166.5741498,ObstructiveApnea
1727675176.581036,ObstructiveApnea
1727675186.589748,ObstructiveApnea
1727675196.59742,ObstructiveApnea
1727675206.606231,ObstructiveApnea
1727675216.613461,ObstructiveApnea
1727675226.62178,ObstructiveApnea
1727675236.629625,NormalSleep
1727675246.638295,ObstructiveApnea
1727675256.646114,NormalSleep
1727675266.653186,NormalSleep
1727675276.661153,NormalSleep
1727675286.667999,NormalSleep
1727675296.67455,NormalSleep
1727675306.681014,NormalSleep
1727675316.6894379,NormalSleep
1727675326.697162,NormalSleep
1727675336.705248,NormalSleep
1727675346.712996,NormalSleep
1727675356.721071,NormalSleep
1727675366.727634,NormalSleep
1727675376.734438,NormalSleep
1727675386.7412329,NormalSleep
1727675396.7477381,NormalSleep
1727675406.756213,NormalSleep
1727675416.763885,NormalSleep
1727675426.771978,NormalSleep
1727675436.778489,NormalSleep
1727675446.7854998,NormalSleep
1727675456.793387,NormalSleep
1727675466.801045,ObstructiveApnea
1727675476.8076391,ObstructiveApnea
1727675486.815233,ObstructiveApnea
1727675496.8234618,ObstructiveApnea
1727675506.8312142,NormalSleep
1727675516.8398879,NormalSleep
1727675526.8463879,NormalSleep
1727675536.853575,ObstructiveApnea
1727675546.860505,ObstructiveApnea
1727675556.868053,ObstructiveApnea
1727675566.875902,ObstructiveApnea
1727675576.882416,ObstructiveApnea
1727675586.89022,ObstructiveApnea
1727675596.897912,NormalSleep
1727675606.904416,NormalSleep
1727675616.910997,NormalSleep
1727675626.917521,NormalSleep
1727675636.925248,NormalSleep
1727675646.933938,NormalSleep
1727675656.9432929,NormalSleep
1727675666.954144,NormalSleep
